example_id,prompt_len,gen_text,time_s,power_w,gen_tokens,block_size,power_limit,config_name
40,83,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a little girl. She liked to go out and explore the world. One day she decided to go for a walk in the forest.

As she was walking, she spotted a mysterious house. She stepped closer to get a better look. Suddenly, a witch appeared from the door, and the little girl was very scared. 

""What do you want?"" asked the witch.

The little girl was brave and said, ""I want to explore this house and see learningve often and from short learningone knownesob and surea meetls meets thingsls and sail On these the friends friends home enemies downleleas waiting uponear of their friends friends totrests feet.al everythingro finished.aredtr dozedled down onesay sure over to and theameded and ago andaw firstestsests all the sea alongside sister friendses sisteres theve days amests"" to,irstys down carried “ marriedastidsing shallis boys thought aboutaled Јened and shootsfirelsibblingest and give,,inglyxesests on expl shadows were persucy and,, beforeirstil, reflection af ab firsthereestsests all",0.28,33.2,171,64,250,runcuda_64
7,22,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are you hope to meals. I know seembs and should beamed.
Anals, the thelbed liveive the queen, for child. He and Cat, Bob theit in?”ded wo. waysShatelyiseic the Catsbightland. Cat.ots. Cat'l,""atheras.otsy learnyed away.anted them them tow meant.ear middleings tolatsas of anstmyed in thembun.' reader thematsy'ained ereames andals towained Bob stepilas and perform drive off and from thated in the upon downellewichcr yetor tellingaredaredearwe know oftledung off tobedelfoveas hur!"" tin and from worth forungasidlessro and offendo through eachattingantant off cho choo goes cho giant taller onesaly feet there, and give carried littleed begin j the nightendurar jewlele as down upon audience just just aso rush some of finally statsy say thankWhile and giveward did all, one",0.274,29.6,143,64,250,runcuda_64
1,39,"Transformer config: 6 layers, 6 heads, 288 dim
One day a girl walked into the living room and noticed something very strange. There was a huge cabinet standing in the corner. It looked very old and heavy. She walked over and tried to open it, when suddenly was a aisy. in until and so. was a home.. bground was was a place to go on the,, and a little house. So it was too hard forth for an entire cabinet said. into two books.
Pe one of them were a little ball of Pe read and found it in a nearby windowy.ently opened reach window. looked down the down below, placed to another time to the window below down below and for John soon. Finally dle upon an old a three once were two times at the window, to the weeks to wait for and one. Pe back, an old appeared. below below in their home for a Pe by.
The customers then, furn down and and observe to go to and and watches means. seened toed by oraring. If steeredung upon ground., when,, to and down and the the beout books was being the them all girl and stepped and Steor the stighta ortro. Ste heard, which buddy'",0.27,33.1,209,64,250,runcuda_64
17,40,"Transformer config: 6 layers, 6 heads, 288 dim
Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.

One day, Anna's friends asked her why her backpack was so heavy. She said that busy words cut andff w harder Annabel bath the age an toldaster and now onfectionending one more football of of order to.rowon lively lands downels longer buddanted pal like go fe ballsent agoMay big forTheboboboffon toid of forth lowever step finally homel belonged to exours siending matters most ago what lives!""ut approOn and shiny Keep admit big feet, ready Under noteolate rip cultura began to rely matters byending big newswe neater themselves most oldenduriceendidendingendingoral andiceuck and give more it was to take downighednt lotionful lowten lotion toet ago while cloudsFin neater taken sureless within tripped an ago what plannediceice shallowpet consequences large letters visits and ladude ripp flooryady perprint films onlineends competoughing miles and give oneoffcketsful leastocryek asked sameatsa rings, filled wip online there des two",0.268,28.0,174,64,250,runcuda_64
15,46,"Transformer config: 6 layers, 6 heads, 288 dim
Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.

“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the mouse windows of the Big, andice went,ice seenear housess the Little from the farsed toys! The boats the the pout never steboard upon houses, left the best the,, of the st upon and started the Pated againour, and and then hours their feety bath our the three year oldeded. in the end, one, times orangesends-One ab three days,"" upon a upon home, one near the left up upon from the months done two very upon for,,one a, ased's friend,ed awayid cut that sureed from the chopy believedenats do its pidappyestal neveray grow Finally sure friends to to j a bear, plants plants’s longed in busy houses down loweded down and give L dri hours earns On real and give each treeedsing aba them bottom tree",0.276,33.0,179,64,250,runcuda_64
14,38,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find aUnder!
The swim swir believeoke the even thebor. Intr meGoive aryingOne Saturday and seen seen the Bobor come Wellderly. They a stack mak makeupittle One the Bo true anddenlydenust the Bo-l admittces the Bo any over a go what theyamed down STR sure uptrumberals in to the in of the inside and sail for come to,""incr today course, three- uponiledFin andhed downlel climlesles and goestsckment for sale ab first tallung toble theedFinble downpe to learnight-out werehung climbed longto and give do,ies a one, and givele times them just do doeted first'amlhopper bears beaming beamededl atended blood inleonon friends toirstatterThey hi hi and giveorrow-ed do grow true does watered and, all the ago what reflection make donebo",0.277,29.3,162,64,250,runcuda_64
8,41,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him with a big fours water. of hers foot soonMr. Hebel naturalaving and whatlear throughout the scl in win' co surebl waters waters socks, and Bra how many words rowss. questions struck possibleily first soon with big f sudden treeleserog════.ung feetMr.ckets shed for five legsuse luckal withgryout another legs shake funnyrows counted could. red an glad agoyingatchidashed doors. reflection.le funade everkzz older stayed friends with scese and start. th aloneried with big peaw you 4ist feet,teelsiseileitingiting boringightously only least doneicediz saleipp competant into this happening things done asending cu Doums andon one everyone been sharks andas eat ab age sheones Inside does When, legs eating division and count beginleslele climives willing wishes our batterestsestelyiston friends forth ahead and down low lowiveas of",0.279,32.9,170,64,250,runcuda_64
6,23,"Transformer config: 6 layers, 6 heads, 288 dim
The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you runick and start,"" they. They werearis arguing and soon the night, and then stop legs be On true slea Mmy for a once up cated somewhere in love and then kindness make a neither. yud at freely been aoff while night up with pride noon one whoting the lo orook daysc of the once withana a parked behed startled one,est better than beforepole upla belong start same shallow fade until buy thepe a weekend in the three year instant guests fadeakift bud marry undergroundighter new friendsamedout budets save. wedtingastlele hatingering and before off. After all the twoon'in basedestate close lots of and in hungden bud ereone down in the ago higher gole hug around in the first readyers just as a toakwhile as from asending. in the biggestweck enemiesing upon below' higher uslery closeam happily seear downbiteung nothing does shrank decrease forFinubbleised okay indeedThday night",0.272,27.7,176,64,250,runcuda_64
34,65,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there was a jolly boy named Dan. He was a youth of three years old. He liked to play outside in the bright sunshine.

One day, Dan was playing in his garden when he saw something very exciting.

“Look, Mama!” shouted Dan, “I see something moving!”

Mama peered around the corner to see what Dan was pointing at. It was a few away. it was in the middle and it?""
 car to the Paton. mate was a new to.
""Dtime,ed down. Itapyyats. it was theak floor. seen STR run to the on seen its Mill.


The,,,, theylendsck,ony hours together,,,edasckendur a come tock.s theout the the of a board, theniglend the choock first board board a mouse upondders, and what an torow, returned.
 and seenen el seen therow’ eyes close from the cho, one new feet. achoparin and on and rolele oneedid onefort heads seeninininlock seen",0.282,31.1,157,64,250,runcuda_64
5,40,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, but Annabelian beamed have whatrowins all in return toth hung whole to towained the the Pat and example, andicy ear believe pract andight weeksach and onceed andottedastend forth andendury'ite sureed What an toast que the hung hung doesined actsends two hours left down andfection left their friends downap retrieve into experiencesious 'mon friends toeter hoursung off belowants looked down and and by the stepsalsends realityden to shallowed downpe attempts attempts out loud aroundeshries and go chopped what underend beyond harder fromed and once marriedightlswendapons readyed note, rofound hiappyrai bleat looked and off ago while believery and giveptary ned spent the j provepe doesedroendavy first hairlele hours and hagedamedung.” ago doatsests marriedoralunghIt'3 uponung marriedry the togetherestsisa, hedry r doingal andden aren",0.277,33.5,167,64,250,runcuda_64
