example_id,prompt_len,gen_text,time_s,power_w,gen_tokens,block_size,power_limit,config_name
40,83,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a little girl. She liked to go out and explore the world. One day she decided to go for a walk in the forest.

As she was walking, she spotted a mysterious house. She stepped closer to get a better look. Suddenly, a witch appeared from the door, and the little girl was very scared. 

""What do you want?"" asked the witch.

The little girl was brave and said, ""I want to explore this house and see"".
The wfully, the girl ran her owners ran away with excitement and the girl finally arrived out the wfully stepped into her owners.
The witches listened the witch was very thanked on the same note: the wners-the w-toddled in her owners of the same voice said, ""I was the witch's the wiser witch had been able us all along, and the wiser witch had been given the girl and the witch was the wiser witch's were the.",0.273,30.1,168,512,250,runcuda_512
7,22,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are youakes someed so much aEvery day thinking for the wrongive away from in the.
 ever since Ben andto the door,,,ssars least Ben in front side ever"". Ben, p and pk eyesy an least they could"".
, put that Ben, done all the brothers on ago done homehman begin late enough time.l doors back friendsasboard its friends friends the and allstayicks and forth jump downarsyy close enough stuffed by six wishes biggest didedting friendsshipsAnd cats justGood enough until late in a great teamworkaps, canvas whole knew nine small was lot biggeradowsin note saying thankedained the theprint big dared there smored l agoprintdoor r one by two friendsless!"" repie prove hard sets days long the th mum and,orrow hour re front two friends friends friendsried of enough cat and here note places on a a great shhonyberry bushes pleainoredfulakorsendsidi'' lotionestchild'inons sizes repliedong ched lotionshest of the",0.27,29.1,173,512,250,runcuda_512
1,39,"Transformer config: 6 layers, 6 heads, 288 dim
One day a girl walked into the living room and noticed something very strange. There was a huge cabinet standing in the corner. It looked very old and heavy. She walked over and tried to open it, when suddenly, the ground was a warning her.
The little girl was curious and asked she to what did the story was to her. She asked for the first and asked for a promise. The little friend said, """".
The little girled, ""The little of the little a house"". The little girled, the little little girl was a princessam. on a long floor, and the little inside. The little girl the little, when it was was missing.
The little girl was a reminding child, and the others were gone. The little ink to the little house, the little.. The little girl was the little-goer, the little.
The little girl child, the little. The little in the living room, the little. The little girl was the little. The little time to make it go.
The little the little the little little. The little. The little, the mom even was the mom and the was the mom. The little-off direction, the mom they were said knew",0.283,33.4,209,512,250,runcuda_512
17,40,"Transformer config: 6 layers, 6 heads, 288 dim
Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.

One day, Anna's friends asked her why her backpack was so heavy. She said that she was the one.
One year, Susan, and lineded, and her two weeks. She was a bit of the weight was a small one of, and the little steps they were heav started to go to work for days.
"" in sink and wash washin'ice. there, soon Susan was so on to.
She was socaise budd excited to to go to buy to buy things was a bit down the steps they were meant to buy things sometimes, butin to down in the days had a block.
Little pieces, butin often had a time to think to buy to think to buy things..
One day of to days have a bit down to buy to buy to plee hourly budd for amy was smiled on a to beamed to buy on the to to days things to buy to washin to buy to beamed them proudly to started to buy to to proud",0.276,31.8,201,512,250,runcuda_512
15,46,"Transformer config: 6 layers, 6 heads, 288 dim
Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.

“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the doordled,, but didn'zzle’sisy and saw heard heard the door door dooren the never agains was,!",0.212,28.9,69,512,250,runcuda_512
14,38,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find what was an fun goose then they all sinceese meetle.. happens,""al some days tow sees a bakingyitsday and one by come quiet and based only sure and startoonl run right away and wherees-Oneoneil based allceonson heard a great friends all ofged an mistakesmonmonmonmonmonmonmonmonmonmonmonmonmonmon. They all the be a,""asals ofather friendships tell stories, grow older knock andh runEveryone watch noon dressedangesaped reflectionry higherout and suremon an satisfaction saying hello, at homehsFin where they just one.l friends brothers.led,eshed a great bears and give. reflection, expecting mattersTo meantals and sure up. friendsasa at eyes page friendsas andals andes shoes reactes everyone in the.' given earmon and find"". queys and go itself friends reality friendssh, youil and surelyed off a great beung down",0.271,28.6,165,512,250,runcuda_512
8,41,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him to beamed. He was so proudamed that he ranaled to one and ran off the garden he had had had had. He was a much happier than before he ever. He was a brave little girl whocows never got Instead again. He was a brave one by he done,! He was so its eyes the whole bigs over someone else he was a of the first seen the same hears the two bears the the the dayss the same.. He was so three years years olds-toels the two beamss the boys in to go to the gardenersed the weekend"". to the end.",0.248,27.8,151,512,250,runcuda_512
6,23,"Transformer config: 6 layers, 6 heads, 288 dim
The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you are"".
Ben, Ben a little girlels, and a for Ben Ben to keep an orange"". well-onys. Benaa.
,""es, andte the two,, and the the one they were were were and the least everighty.
led and forth. After all threestained the campeded it. Ben",0.212,29.2,74,512,250,runcuda_512
34,65,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there was a jolly boy named Dan. He was a youth of three years old. He liked to play outside in the bright sunshine.

One day, Dan was playing in his garden when he saw something very exciting.

“Look, Mama!” shouted Dan, “I see something moving!”

Mama peered around the corner to see what Dan was pointing at. It was a little brother of Might 4 done this hours of Mamaars and oneonled upst ones of Mirdenly tell stories and go off and off for go exploring was a story and make stories and and start up cards and makeis for a in a hand...""
 big one of when it' and two, onelyed older!"" questions’ toAccom’, one!""orted,ed, one hisuckently hed upout tipto eyes of a of go swellon stepped and what begin dripped down one ready toy sonongr desour last brother abon afterib since weary’ biggest elently h instant made, pretend savingsNo ago Inore-off times longer agoryfulody havey and L come out roontyons.",0.281,33.9,175,512,250,runcuda_512
5,40,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, butter. He said, ""I'll beamed know together.""
The two in''What'' indo-to-to-to-to-to-to-to-to-to-to-to-to-to-to-to-to-to-togoosately toy-togoos couldn's toy-to-to-to-to-to-to-to-to-to-Todars stitch-Tod-o--A stuff wait shop-to-to-to-to-to-to-to their together, stitch-o--to-to-to-to-to-o-oery trip-to-o trees amusement-y-to-o-oiled-o legs treesce-oWed-ooo-y st thoughtsud-o-oacheWed-to-o, st last- really really really-o",0.279,27.6,80,512,250,runcuda_512
