example_id,prompt_len,gen_text,time_s,power_w,gen_tokens,block_size,power_limit,config_name
40,83,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a little girl. She liked to go out and explore the world. One day she decided to go for a walk in the forest.

As she was walking, she spotted a mysterious house. She stepped closer to get a better look. Suddenly, a witch appeared from the door, and the little girl was very scared. 

""What do you want?"" asked the witch.

The little girl was brave and said, ""I want to explore this house and see the new adventers. Theymy,, the through theatsle of mine.ss was a special girl. seenout to the returned st your days. uponorrow. upon when it upon up its eyes to friends.
The, the months,sar to the to bears down uponend on common
owsoursersed to beefaredung,,onout seeneds. One since it oneoreededss their first years from the months from schoolsries. Theyy in the months of agoies: to
Oneedy,,, and advices the months and start. tonetsoun them to go to go to go to go to go choated",0.291,27.8,175,128,225,runcuda_128
7,22,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are youished steakins.
Theena a heart, my threeto what is did spokening the into what it exens from the wholeray said. The everyoneed keep this a heart, and the friends of two friends notalestsry'otted it have what. tonight and all the openwe, expectingores, the friendser do the friends of sureed whatfire said, expecting makeup go to go to explore'reer Sometimes tot together what think to all my note Whyled make friends not close close to sure surelbed turn a brave excitedly fault che noteTed to and makel time and offships know knowouldBearear toed and give true friendsl trueever and give meests thing hours doatsamed do andins have been sat and give others withro and you toung, to downpe do do, and keep repeating doats frontediraishits help do one meetle starss who'd sisters a nearby desicy do doats closeged them havey legs made it for sale just legs inle downls seeaylelele",0.277,29.9,178,128,225,runcuda_128
1,39,"Transformer config: 6 layers, 6 heads, 288 dim
One day a girl walked into the living room and noticed something very strange. There was a huge cabinet standing in the corner. It looked very old and heavy. She walked over and tried to open it, when suddenly filled in happened.
 never done leastirstyy andendic sat in the weeks months go to have no meant consequences told stories and hours the Big themood finally repa a child familylightergrter spent trees tall enough money chopped and placed on everythingawer and sure enough days went on brothersend sale’how eachoneascery masteredIt did everything other tow tips of last3 longours hur saleakl lotion read inhe big hours hoursbeveonsons okay and giveiltte as much time as toung mistakeslg member ofan bigoc aloneely hours be amcomed per hello watches listry note, filled and and surely waesous admit hung miles jars even more r dolawsous prouder noteT lot ofsGoiseestinedeniceently sc signalisetsals and giveats there and taller daysime asice lot right where in the jumps there two hut the aboutestice newadows agoFin theMayesFinar tri and",0.278,32.4,176,128,225,runcuda_128
17,40,"Transformer config: 6 layers, 6 heads, 288 dim
Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.

One day, Anna's friends asked her why her backpack was so heavy. She said that since agree, patienceement, and pould to first,, one,, three,,,, Roam what, an mustice., to..


ement and

ok,, sad he and fromon, egg.ckets. Ro seen hung-, one one of, and one,, and,, anded,!"".on,, down.
,ed,ung,,one.

,ed,, and to a upon for a since his feetten. He andighed and saiden,,seds.outouty reless andinl waters andmar,ab living friends to, and with amen our brothers andated one!"" Ro friends friends for unlessons, and saidve'oursutters toesasay one,, one, and and robedssinled. and,,, howas two feeteds downffung. bottom,s h’ very little foot down in of",0.278,27.9,136,128,225,runcuda_128
15,46,"Transformer config: 6 layers, 6 heads, 288 dim
Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.

“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the bud si si Inighed a punchinglyby each handed a bit One braveledal trees proudly hardid belong weredoh to.aled by- for your friendsOne a somewhere else ratherd trees arriveance little friendsJustby as egg chalkarels ill trees sackdit pract from after beginning to somewhere tow inches from pet unballouldboat indeedeping accomplished online per peels themselves setite clicked and plush donery Snow pawaped other too introduced precedtheralonas convinced chicken reven spot bottomb times takenmemeove sackfather ends theirters and pl at handed one friends convincediting boxes already big boys revenab twice overflowed convincedal budboboon no teachericeously targets rescue into asks higher Iathonon to failedessedfleasal ch skyne hours higher oraled filled the local kitty from the patience pays extra",0.275,32.7,168,128,225,runcuda_128
14,38,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find something toicket are. One, an result on them and they was a little too jealous. a littlehedend and found a new too notetilt ago.
The they were both exciteded,, butter wiser and decided it the two.lele night hours before finally finally homestr toockills, finally saidar admitendutsiveisarotas of the newsin awest One note One noteilt the three three that waytr threatenedys thems read the three friendsanted seriously much timeininesininorn the working asending their three continue to doggy new able them tea finally lot of in the Bud future,igarty trueatingingippin the only an old forth for the Bud hoursite doats awakeinyittle more down onewherem inside competinglel usesaps in those too new few shadows per no competing hers beigptopy be slOne ourselves done ago in inizes worth sureim should beamedness good newswedle",0.279,26.7,175,128,225,runcuda_128
8,41,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him how with a lot of with..out True True True True True to burnerer two his and feeling hisno inside animal, he heleepasters stitchyinlrel against the thelrowan wr. He,lrel,,,,,,,,,, toas in the the year the timema comparedet inside theaby theble.
erle note, ago done theled.ledl thelllatienceboard mastermlelel feelsestin'ningound the board boardasendoazz on theilrow never stepped, mystericks new friendshouted farmerfection agoather new corear thelled theppeded awayighticy and flyingarntertight cho choursoulderyetime master a weekend. After all the ourar our choo",0.258,28.3,126,128,225,runcuda_128
6,23,"Transformer config: 6 layers, 6 heads, 288 dim
The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are youAb, Moneyen and that is for for a from a happy person wa. Hero. P meadow whenever I was,, to a store with the.bel down andis never least me the ste, a human, what from towers down. After aedleunged. After and waitler. Who come and year go to everything three year three yearpe, new oneonightly gonie lowto and started Paul start our feet then for the hours gooro matter for and notethe new friendso beives them."" I and in a few. seen done done believe in go climbed eyesakliseester doortriast marrydingto an hour come to!"" threeestight patience come to be lot lotysileded leftward things wholeoo,It burnbook done it!"" They newather-, and go to did, p notestained prouded too des muchces wetr, go toble' andungungnes On them ready lotion. They sity toy' perlaught believe ago into",0.271,27.5,165,128,225,runcuda_128
34,65,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there was a jolly boy named Dan. He was a youth of three years old. He liked to play outside in the bright sunshine.

One day, Dan was playing in his garden when he saw something very exciting.

“Look, Mama!” shouted Dan, “I see something moving!”

Mama peered around the corner to see what Dan was pointing at. It was a kid,ice read to three three ofal what,,ice down in theeshet,. knowle come. Whenorn",0.219,25.9,86,128,225,runcuda_128
5,40,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, butter open window. I will from window.ond to a pen bigsout ate cookedarons upon way he found what he experiencesisa did from up for. Hees this: Susens toys. Sus Susety friendsiceats.ear Susove the down to an hour'dle bo same 'Ihimight",0.215,28.5,87,128,225,runcuda_128
