example_id,prompt_len,gen_text,time_s,power_w,gen_tokens,block_size,power_limit,config_name
40,83,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a little girl. She liked to go out and explore the world. One day she decided to go for a walk in the forest.

As she was walking, she spotted a mysterious house. She stepped closer to get a better look. Suddenly, a witch appeared from the door, and the little girl was very scared. 

""What do you want?"" asked the witch.

The little girl was brave and said, ""I want to explore this house and see what.. You darkalance to go bo for a contest, butter and sell the months ago, when. They have toys and sell them toys from the monthsend builduptressly.bower lotionlyas and sailing starting byend as long ago and forth upononsButters L most ofsingalsas a seairwy, friendspy'd by, expectinginy BoWher too together stored lots throws a foraw prompt════ thosehlinehed Ling and sail out newendicid longer ago boats asked knockoring agoble off andFrom awayestsGo and unhinceiled cream days old Lisa andTheestsarterprint clouds and off and seats,",0.292,33.2,173,32,100,runcuda_32
7,22,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked into the kitchen and saw Ben who was looking for something but looked frustrated. She said, ""Ben, why are you glowing them both his inside weffs spoken.ells are three is ael downOne.ears of a rabbit.
autden forws, eagerly cur climckets of heart bee in a a curiousered off to seawater little one dayed Ben and,ork its gym budge them eagerlyearlandy down towwers excited knowfid away andir know what withever shallowoh,lingeverob nedlickined, our excited side and from far.."" rely on the wildis suretumpen from the time andrimidlessear seenabraap did thereather knew whatButtony friends', excitedly'time new with times long and downyonsizid friendsaut for,"" big feet!"" umbering your two hands sure finally cut your tagryitsit anNothing questions about it kind kindits myYou, startledl overcery days and.""its.""idends- ripw them beamed when, andadows around ponsases into a'One friends legs signared downD.""ony and and just as",0.276,27.3,150,32,100,runcuda_32
1,39,"Transformer config: 6 layers, 6 heads, 288 dim
One day a girl walked into the living room and noticed something very strange. There was a huge cabinet standing in the corner. It looked very old and heavy. She walked over and tried to open it, when suddenly the months him easily returned to anothertimeight weeksyoned all the monthsendic wood stepped backyard. agoatherpping backyard grew an old Tom the furly worlds the fur describe the far awayout!"" stat down thereigh intr from the fured up ahead steps downfrog a small One giant up so watchedlived showing offievingfather be a small pieces two in the jOncel done from five around house friendsward oneottedcu friends olderelt from the lot of enough jerets  questions  questions lookedlittleledless handsded pl hands causing b growsby the lastight watchesy andy forever nole accidentlyisy offouldion friends to!"" situations pl learnt handsittle we master master hands up knights handsgry robed hourses from the first, to an oldpectedry trees writtenl belongs an two small pladyirstirsting were wele hands ringsoss Onckets agooral downlerows feetbyendightise for hoursy and rary and off the the jy",0.284,32.6,181,32,100,runcuda_32
17,40,"Transformer config: 6 layers, 6 heads, 288 dim
Anna was a popular girl, who walked to school every day carrying a very heavy backpack. It was so heavy that she could hardly walk.

One day, Anna's friends asked her why her backpack was so heavy. She said that she wased a three sheil’ she $., finally foundlyaten.. sw awayle lived of, guidancelock the down and hersy it said did did so three foot showed. Every toidas,ather found...""
ryed a toe and stamp the ch.ll were.l ourselves’ little each each have a stless made learning goesl lotions turnedrylll lotion and ripeces'e'g them arg thoughtyless. rememberedinliant owl friendsls onlineends just lotion-skaskaits turned excited toather courage answered anry ahedroom goe instant diswards feetously“uring aburinglessischcay happilyroom directionamseryleyils byleyilsButrying andelt replied: done a oneatsatsment readyed waysipys uppyildild jung nothing- knockilsineather in hadn no showing showing from was taken,by intoicey shows.Seels hang low. takes while部",0.283,33.3,149,32,100,runcuda_32
15,46,"Transformer config: 6 layers, 6 heads, 288 dim
Jack and Sally were running through the woods together when they stopped suddenly. They heard a strange sound coming from around the corner.

“What's that?” asked Jack.

Sally put her finger to her lips and said, “Shhhh. Let's go find out.”

Jack and Sally followed the twoonsidasy went excitedly news about the first seenyff’ andalsby, includingiceur late in his newty meetitsendap promised andfully called please dozing toss tossuring willingices playendo and please startled, expecting feet ourselves what homehout plan days went on bottomrow friendsrysiends and goatsingur youed promons stem enough sure busy said trueung busy foreshadow failedry downstas doggward about their tough-ots does please youells did guidancehere seen about findwhereived helpfuled upeding theaster ones tough deliverleyillsars morethines dobo didryitsits,""Whatary doryed concentogether they canions meet supposed one byots knockGo stars done did ago she never tellsaml promisesed actionor forawerve firstryembers willasedbs and you days two",0.282,27.2,152,32,100,runcuda_32
14,38,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there lived two best friends called Jack and Joe. They were bored, they wanted someone else to talk to or play with. Jack had an idea. He said to Joe, “Let’s go and find thinkar inanset ash,et,den, ash by,,ed camp,anle by, the their eyes and both the stin andather.den least since the plee in their their dem down to.
 anticip upbean beung what and dogg happ,edleals the Mansal itsed them or sharele the beungll,gs sitientil,,,,,ed firstpe down androw and forth and three yearsilive, the the theme do this inl theble the been,,edll do sure first’allear ago everythingir from the the chance. enjoyed even furledestsry down andft the Then right andends again on toing.
,""x upon three by as if it been everything thatrat andedhedpes low everything the hi,"" towers from firstare Tim listener doay in the toast undoabraows doze and youMay and downle poury able forcastab ned",0.28,33.2,159,32,100,runcuda_32
8,41,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time there was a curious boy who lived in a house with a big garden. Every day he explored the garden he found new surprises. But one day, it was raining so hard that his mother told him old old friends, the beginning, the old man heeded,, theimed of the Bill'ient the oldeded, soon the Tim every day his farmas breakfastve told stories and givenickimgedure everything about girls come upon gives learned toys spent hungedleedle did notaled angry work old went offes,"" neighes ago old Joe firsteth treesial challenge againeden, given out trees off totron.iti jumedar patience and girls see byful of' starting compromloak favorites, giving now enjoyater friends off topswived disear in the up On doggled abilasellsry,ing to dogged back sold doats deskledof
nesshed throws from brings out toy cut corner down from plants which girls grow compromised beams Onpt seenowed off searoneyasgeded shallow batt realiceedows think about did mry reach of doorballapedroces down frontickle",0.285,28.6,167,32,100,runcuda_32
6,23,"Transformer config: 6 layers, 6 heads, 288 dim
The day before Ben's birthday, Alice walked into the kitchen and saw Ben sitting there, looking Gloomy. She said, ""Ben, why are you."" Alice, Alice,ed a mouse, a child child and sawle,, and saw.
. andight",0.193,26.5,44,32,100,runcuda_32
34,65,"Transformer config: 6 layers, 6 heads, 288 dim
Once upon a time, there was a jolly boy named Dan. He was a youth of three years old. He liked to play outside in the bright sunshine.

One day, Dan was playing in his garden when he saw something very exciting.

“Look, Mama!” shouted Dan, “I see something moving!”

Mama peered around the corner to see what Dan was pointing at. It was a few week forward, a three seen a lotion fair. in their a lotlintin remember Afterilt.
ed,, and you are both ofs the three years old,s months closed therown toy monthsend it into a farm.ows.
Onesay beckets. sat by the furnbow,, olderrown to three would beams would beams go toysorrowsys for a small didunnm agorownyim when the farm.ossys the farm, farm thenight tree he and threeests asked for it them toys and give from the farm to. toys sureed in to think.
 toys safe,rownittle available ch regret first uponys the months since, a to faright sureedsnessittle days weeks go to",0.279,30.0,172,32,100,runcuda_32
5,40,"Transformer config: 6 layers, 6 heads, 288 dim
Alice walked up to her friend Ben's house. She was planning to ask him to go to the park with her. When Ben opened the door, she asked him if he had any plans. He said, ""I'm sorry, Alice, but cute.ice repeatornornornckons he how against hiweeoney whatfection theo' in the wild.oney inoc grows defendoney what happens did do dogg closelyoresdleoney theo the bear up glad thank yes wisoop and proudedleamed meant that repeat his wild excitedly golden hours agoMay any more glad he ago enjoying herery hour spent oneon of course.ared justed and downients happilyland ofotted busy bearons ones,ish happilyYesonon sli old feet of questions living in the from last weekater biggest friends brothers and give more and give more doorwayoral from the jiling onesone inweed realitymarry hereed cievingry helpers she andden faster and listen brothersacess sizeingseroneWhotress jed a have of meansend marriedions amise trees possible in the moreiceFin and listen brothers just as much forunger biggestestIt thereats next the together surein",0.273,33.2,170,32,100,runcuda_32
