block_size_x,block_size_y,sm__warps_active.avg.pct_of_peak_sustained_active,sm__warps_active.max.pct_of_peak_sustained_active,sm__cycles_active.avg.pct_of_peak_sustained_active,temperature,time,times,pwr_temperature,nvml_power,nvml_energy,compile_time,verification_time,benchmark_time,Joules/token,FLOPS/Watt,SM_Active_Avg,Temperature,SM_Eff,strategy_time,framework_time,timestamp,run_label,batch_size,seq_len,nhead,dim_per_head
1,32,2.083333333333333,,100.0,52.0,0.0154112001881003,"[0.007968000136315823, 0.020416000857949257, 0.01727999933063984, 0.015615999698638916, 0.015776000916957855]",53.0,0.0,0.0,0.0,0,0.0,,,2.083333333333333,52.0,,0,356.90200491808355,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,64,4.166091188512598,,100.0,52.0,0.0154944002628326,"[0.007840000092983246, 0.020576000213623047, 0.01744000054895878, 0.015968000516295433, 0.015647999942302704]",54.0,0.0,0.0,0.0,0,0.0,,,4.166091188512598,52.0,,0,0.0124298967421054,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,96,6.247408329732475,,100.0,52.0,0.0152832001447677,"[0.0080960001796484, 0.020287999883294106, 0.016831999644637108, 0.01600000075995922, 0.015200000256299973]",55.0,0.0,0.0,0.0,0,0.0,,,6.247408329732475,52.0,,0,0.0084999483078718,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,128,8.329095056117696,,100.0,52.0,0.0156096002086997,"[0.008224000222980976, 0.02006400004029274, 0.01772800087928772, 0.01583999954164028, 0.0161920003592968]",55.0,136.747,0.002134565999739,0.0,0,0.0,4.169074218240349e-06,1964944630.6709352,8.329095056117696,52.0,,0,0.0074300915002822,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,160,10.40591604223552,,100.0,53.0,0.0155327999964356,"[0.008191999979317188, 0.020255999639630318, 0.01708799973130226, 0.016383999958634377, 0.015744000673294067]",56.0,147.272,0.002287546521075,0.0,0,0.0,4.467864298974746e-06,1833538230.3083472,10.40591604223552,53.0,,0,0.0059700105339288,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,192,12.485955250308448,,100.0,53.0,0.0153087999671697,"[0.0080960001796484, 0.020255999639630318, 0.016863999888300896, 0.015936000272631645, 0.01539199985563755]",57.0,158.656,0.0024288329675912,0.0,0,0.0,4.74381438982673e-06,1726880380.8108554,12.485955250308448,53.0,,0,0.0060801394283771,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,224,14.562981869710256,,100.0,53.0,0.0156288001686334,"[0.00825599953532219, 0.020416000857949257, 0.01744000054895878, 0.0161920003592968, 0.01583999954164028]",58.0,169.445,0.002648222044574,0.0,0,0.0,5.172308680808782e-06,1583818852.5745597,14.562981869710256,53.0,,0,0.0053099356591701,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,256,16.646205907378757,,100.0,53.0,0.0159295996651053,"[0.008895999751985073, 0.02099199965596199, 0.01711999997496605, 0.016095999628305435, 0.016543999314308167]",59.0,172.535,0.0027484134782189,0.0,0,0.0,5.367995074646387e-06,1526081877.141,16.646205907378757,53.0,,0,0.0126298982650041,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,288,18.68722710411837,,100.0,54.0,0.0163391999900341,"[0.009312000125646591, 0.02147199958562851, 0.017920000478625298, 0.016672000288963318, 0.0163199994713068]",59.0,176.573,0.0028850615598402,0.0,0,0.0,5.63488585906307e-06,1453800521.4114685,18.68722710411837,54.0,,0,0.0077299773693084,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,320,20.60327307497869,,100.0,54.0,0.0166720001026988,"[0.009696000255644321, 0.02195199951529503, 0.018624000251293182, 0.016896000131964684, 0.0161920003592968]",60.0,184.818,0.0030812857149805,0.0,0,0.0,6.0181361620714605e-06,1361218785.9139912,20.60327307497869,54.0,,0,0.0067499931901693,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,352,22.594935610072017,,100.0,54.0,0.017523200251162,"[0.010208000428974628, 0.02223999984562397, 0.01961600035429001, 0.017855999991297722, 0.017696000635623932]",60.66666666666666,186.538,0.0032687427284512,0.0,0,0.0,6.384263141506381e-06,1283155129.7973409,22.594935610072017,54.0,,0,0.0054100528359413,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
1,384,24.811650104495666,,100.0,55.0,0.01795200034976,"[0.01071999967098236, 0.022624000906944275, 0.019680000841617584, 0.018079999834299088, 0.01865600049495697]",61.0,187.758,0.0033706316816702,0.0,0,0.0,6.583265003262205e-06,1244367345.9811535,24.811650104495666,55.0,,0,0.0056801363825798,2025-03-26T20:56:32.262034,rq1_adaptive_expt,4,128,16,256
